<<<<<<< HEAD
﻿Provience,Location,Weather,Traveltype,Accommodation,Address,Perpersonbudget,Activities
North Central,Anuradhapura,Hot,Cultural,HOTEL SISIL THERA,"NO:558/A, D.S SENANAYAKE MAWATHA, STAGE TOWN, ANURADHAPURA",16100,"Tuk Tuk Tours,Mountain Bike Tours,Visit Ancient Ruins,Archaeology Tours,Visit Sacred & Religious Sites,Explore Hidden Gems"
North Central,Anuradhapura,Hot,Cultural,CINNAMON LODGE,"P.O. BOX 02, HABARANE",16800,"Tuk Tuk Tours,Mountain Bike Tours,Visit Ancient Ruins,Archaeology Tours,Visit Sacred & Religious Sites,Explore Hidden Gems"
North Central,Anuradhapura,Hot,Cultural,HABARANA VILLAGE BY CINNAMON,"P.O. BOX. 01, HABARANA.",7800,"Tuk Tuk Tours,Mountain Bike Tours,Visit Ancient Ruins,Archaeology Tours,Visit Sacred & Religious Sites,Explore Hidden Gems"
North Central,Anuradhapura,Hot,Cultural,SOROWWA RESORT AND SPA,"LAKE ROAD, HABARANE",27900,"Tuk Tuk Tours,Mountain Bike Tours,Visit Ancient Ruins,Archaeology Tours,Visit Sacred & Religious Sites,Explore Hidden Gems"
North Central,Anuradhapura,Hot,Cultural,PALM GARDEN VILLAGE HOTEL,"POST 42,PUTTALAM ROAD, PANDULAGAMA, ANURADHAPURA.",14400,"Tuk Tuk Tours,Mountain Bike Tours,Visit Ancient Ruins,Archaeology Tours,Visit Sacred & Religious Sites,Explore Hidden Gems"
North Central,Anuradhapura,Hot,Cultural,HOTEL DULYANA,"488/18,MAITHREEPALA SENANAYAKE MW,ANURADHAPURA",15700,"Tuk Tuk Tours,Mountain Bike Tours,Visit Ancient Ruins,Archaeology Tours,Visit Sacred & Religious Sites,Explore Hidden Gems"
North Central,Anuradhapura,Hot,Cultural,MIRIDIYA HOTEL,"WASALA DATHTHA MAWATHA, ANURADHAPURA",19200,"Tuk Tuk Tours,Mountain Bike Tours,Visit Ancient Ruins,Archaeology Tours,Visit Sacred & Religious Sites,Explore Hidden Gems"
North Central,Anuradhapura,Hot,Cultural,THE LAKESIDE AT NUWARAWEWA,"NEW TOWN,ANURADHAPURA",21900,"Tuk Tuk Tours,Mountain Bike Tours,Visit Ancient Ruins,Archaeology Tours,Visit Sacred & Religious Sites,Explore Hidden Gems"
North Central,Anuradhapura,Hot,Cultural,THE SANCTUARY AT TISSAWEWA,"OLD TOWN,ANURADHAPURA",31400,"Tuk Tuk Tours,Mountain Bike Tours,Visit Ancient Ruins,Archaeology Tours,Visit Sacred & Religious Sites,Explore Hidden Gems"
North Central,Anuradhapura,Hot,Cultural,GRAND CROWN HOTEL,"891,MILAGAS JUNCTION,ANURADHAPURA",12400,"Tuk Tuk Tours,Mountain Bike Tours,Visit Ancient Ruins,Archaeology Tours,Visit Sacred & Religious Sites,Explore Hidden Gems"
North Central,Anuradhapura,Hot,Cultural,COTTAGE TOURIST REST,"388/38, HARISCHANDRA MAWATHA, ANURADHAPURA",22000,"Tuk Tuk Tours,Mountain Bike Tours,Visit Ancient Ruins,Archaeology Tours,Visit Sacred & Religious Sites,Explore Hidden Gems"
North Central,Anuradhapura,Hot,Cultural,THE OTHER CORNER,"LAKSIRIGAMA, PALIGASWEWA, HABARANA",50200,"Tuk Tuk Tours,Mountain Bike Tours,Visit Ancient Ruins,Archaeology Tours,Visit Sacred & Religious Sites,Explore Hidden Gems"
North Central,Anuradhapura,Hot,Cultural,SYZYGY GARDEN,"NO. 475, KURUNDANKULAMA ANURADHAPURA",36800,"Tuk Tuk Tours,Mountain Bike Tours,Visit Ancient Ruins,Archaeology Tours,Visit Sacred & Religious Sites,Explore Hidden Gems"
North Central,Anuradhapura,Hot,Cultural,LEOPARD DEN,"WILPATTU JUNCTION, PAHALAMARAGAHAWEWA",27100,"Tuk Tuk Tours,Mountain Bike Tours,Visit Ancient Ruins,Archaeology Tours,Visit Sacred & Religious Sites,Explore Hidden Gems"
North Central,Anuradhapura,Hot,Cultural,HABARANA REST HOUSE,HABARANA,16600,"Tuk Tuk Tours,Mountain Bike Tours,Visit Ancient Ruins,Archaeology Tours,Visit Sacred & Religious Sites,Explore Hidden Gems"
North Central,Anuradhapura,Hot,Cultural,MEDAWACHCHIYA REST HOUSE,MEDAWACHCHIYA,15800,"Tuk Tuk Tours,Mountain Bike Tours,Visit Ancient Ruins,Archaeology Tours,Visit Sacred & Religious Sites,Explore Hidden Gems"
North Central,Anuradhapura,Hot,Cultural,HOTEL NILKETHA VILLA,"NO:139,OLD MIHINTALE ROAD,ANURADHAPURA",21600,"Tuk Tuk Tours,Mountain Bike Tours,Visit Ancient Ruins,Archaeology Tours,Visit Sacred & Religious Sites,Explore Hidden Gems"
North Central,Anuradhapura,Hot,Cultural,POLLAN HOTEL AND GUEST HOUSE,"NO. 201, ANURADHAPURA ROAD, THAMBUTTEGAMA",9100,"Tuk Tuk Tours,Mountain Bike Tours,Visit Ancient Ruins,Archaeology Tours,Visit Sacred & Religious Sites,Explore Hidden Gems"
North Central,Anuradhapura,Hot,Cultural,CEYBANK REST - ANURADHAPURA,"JAYANTHI MAWATHA, ANURADHAPURA.",9100,"Tuk Tuk Tours,Mountain Bike Tours,Visit Ancient Ruins,Archaeology Tours,Visit Sacred & Religious Sites,Explore Hidden Gems"
North Central,Anuradhapura,Hot,Cultural,GALKIRIYAGAMA VILLAGE,"NO.23, NEW, TOWN, GALKIRIYAGAMA.",8800,"Tuk Tuk Tours,Mountain Bike Tours,Visit Ancient Ruins,Archaeology Tours,Visit Sacred & Religious Sites,Explore Hidden Gems"
North Central,Anuradhapura,Hot,Cultural,LAKE VIEW GARDEN HOTEL,"KANDY ROAD,MATALE JUNCTION, KURUNDANKULAMA, ANURADHAPURA.",14800,"Tuk Tuk Tours,Mountain Bike Tours,Visit Ancient Ruins,Archaeology Tours,Visit Sacred & Religious Sites,Explore Hidden Gems"
North Central,Anuradhapura,Hot,Cultural,MILANO TOURIST REST,"596/40, STAGE 01, ANURADHAPURA.",15200,"Tuk Tuk Tours,Mountain Bike Tours,Visit Ancient Ruins,Archaeology Tours,Visit Sacred & Religious Sites,Explore Hidden Gems"
North Central,Anuradhapura,Hot,Cultural,PANORAMA GUEST HOUSE,"NO.395/11C, MUDITHA MAWATHA, ANURADHAPURA.",22000,"Tuk Tuk Tours,Mountain Bike Tours,Visit Ancient Ruins,Archaeology Tours,Visit Sacred & Religious Sites,Explore Hidden Gems"
North Central,Anuradhapura,Hot,Cultural,REST HOUSE -KAKIRAWA,"THLAWA ROAD,KAKIRAWA",4700,"Tuk Tuk Tours,Mountain Bike Tours,Visit Ancient Ruins,Archaeology Tours,Visit Sacred & Religious Sites,Explore Hidden Gems"
North Central,Anuradhapura,Hot,Cultural,BOA VISTA,"NO. 142, OLD PUTTALAM ROAD, TISSAWEWA, ANURADHAPURA",13400,"Tuk Tuk Tours,Mountain Bike Tours,Visit Ancient Ruins,Archaeology Tours,Visit Sacred & Religious Sites,Explore Hidden Gems"
North Central,Anuradhapura,Hot,Cultural,HOTEL LIONS DEN,"NO:523/11,D.S.SENANAYAKE MW,STAGE II,ANURADHAPURA",8500,"Tuk Tuk Tours,Mountain Bike Tours,Visit Ancient Ruins,Archaeology Tours,Visit Sacred & Religious Sites,Explore Hidden Gems"
North Central,Anuradhapura,Hot,Cultural,SOROWWA RESORT & SPA,"LAKE ROAD,HABARANA.",3900,"Tuk Tuk Tours,Mountain Bike Tours,Visit Ancient Ruins,Archaeology Tours,Visit Sacred & Religious Sites,Explore Hidden Gems"
North Central,Anuradhapura,Hot,Cultural,HOTEL ALAKAMANDA,"NO:11/1,NAGASENA MAWATHA,ANURADHAPURA",24300,"Tuk Tuk Tours,Mountain Bike Tours,Visit Ancient Ruins,Archaeology Tours,Visit Sacred & Religious Sites,Explore Hidden Gems"
North Central,Anuradhapura,Hot,Cultural,HAPPY LEONI HOTEL,"NO 329/6,MAHAWELA WATHTHA,5TH LANE,MEHENTHALE ROAD,ANURADHAPURA",22500,"Tuk Tuk Tours,Mountain Bike Tours,Visit Ancient Ruins,Archaeology Tours,Visit Sacred & Religious Sites,Explore Hidden Gems"
North Central,Anuradhapura,Hot,Cultural,PLATINUM RESORT,"NEW KANDY ROAD,NELUMKULAMA,ANURADHAPURA",9900,"Tuk Tuk Tours,Mountain Bike Tours,Visit Ancient Ruins,Archaeology Tours,Visit Sacred & Religious Sites,Explore Hidden Gems"
North Central,Anuradhapura,Hot,Cultural,SEMILA GREEN GARDEN HOTEL,"NO 152,KODIKARA WATHTHA,MADATUGAMA",13600,"Tuk Tuk Tours,Mountain Bike Tours,Visit Ancient Ruins,Archaeology Tours,Visit Sacred & Religious Sites,Explore Hidden Gems"
North Central,Anuradhapura,Hot,Cultural,GAMODH CITADEL RESORT,"LOLUWAGODA ,ELAYAPATHTHUWA,ANURADHAPURA",25200,"Tuk Tuk Tours,Mountain Bike Tours,Visit Ancient Ruins,Archaeology Tours,Visit Sacred & Religious Sites,Explore Hidden Gems"
North Central,Anuradhapura,Hot,Cultural,TISSA WAWU HOTEL,"POTHANAGAMA ,GALWALA ROAD,ANURADHAPURA.",14600,"Tuk Tuk Tours,Mountain Bike Tours,Visit Ancient Ruins,Archaeology Tours,Visit Sacred & Religious Sites,Explore Hidden Gems"
North Central,Anuradhapura,Hot,Cultural,RANDIYATHA HOTEL,"KUNCHIKULAM, IPOLOGAMA, ANURADHAPURA",6600,"Tuk Tuk Tours,Mountain Bike Tours,Visit Ancient Ruins,Archaeology Tours,Visit Sacred & Religious Sites,Explore Hidden Gems"
North Central,Anuradhapura,Hot,Cultural,HOTEL MADARA,"KANDY ROAD,THIRAPPANI,ANURADHAPURA",9400,"Tuk Tuk Tours,Mountain Bike Tours,Visit Ancient Ruins,Archaeology Tours,Visit Sacred & Religious Sites,Explore Hidden Gems"
North Central,Anuradhapura,Hot,Cultural,HURULU SEVENA HOTEL,"JAYAMPATHIE,KAHATAGASDIGILIYA.",19300,"Tuk Tuk Tours,Mountain Bike Tours,Visit Ancient Ruins,Archaeology Tours,Visit Sacred & Religious Sites,Explore Hidden Gems"
North Central,Anuradhapura,Hot,Cultural,MIHILIYA GUEST HOUSE,"NO:420/B,A9 ROAD,OLUKARANDA,KEKIRAWA",5800,"Tuk Tuk Tours,Mountain Bike Tours,Visit Ancient Ruins,Archaeology Tours,Visit Sacred & Religious Sites,Explore Hidden Gems"
North Central,Anuradhapura,Hot,Cultural,SAMANALA HOTEL,"PUTTLAM ROAD,NOCHCHIYAGAMA",12700,"Tuk Tuk Tours,Mountain Bike Tours,Visit Ancient Ruins,Archaeology Tours,Visit Sacred & Religious Sites,Explore Hidden Gems"
North Central,Anuradhapura,Hot,Cultural,HOTEL MIHINTALE,ANURADHAPURA ROAD MIHINTALE.,44000,"Tuk Tuk Tours,Mountain Bike Tours,Visit Ancient Ruins,Archaeology Tours,Visit Sacred & Religious Sites,Explore Hidden Gems"
North Central,Anuradhapura,Hot,Cultural,MELBOURNE TOURIST REST,"388/28, HARISCHANDRA MW, STAGE 1, ANURADHAPURA",28800,"Tuk Tuk Tours,Mountain Bike Tours,Visit Ancient Ruins,Archaeology Tours,Visit Sacred & Religious Sites,Explore Hidden Gems"
North Central,Anuradhapura,Hot,Cultural,HOTEL MOONSTONE,"M 18, PANADULAGAMA,ANURADHAPURA.",21700,"Tuk Tuk Tours,Mountain Bike Tours,Visit Ancient Ruins,Archaeology Tours,Visit Sacred & Religious Sites,Explore Hidden Gems"
North Central,Anuradhapura,Hot,Cultural,SEMINI HOLIDAY RESORT,"2ND LANE,MATHALE JUNCTION, ANURADHAPURA.",23900,"Tuk Tuk Tours,Mountain Bike Tours,Visit Ancient Ruins,Archaeology Tours,Visit Sacred & Religious Sites,Explore Hidden Gems"
North Central,Anuradhapura,Hot,Cultural,VILLU VILLA,"601/45B, JAYA MAWATHA, AIRPORT ROAD, ANURADHAPURA",17100,"Tuk Tuk Tours,Mountain Bike Tours,Visit Ancient Ruins,Archaeology Tours,Visit Sacred & Religious Sites,Explore Hidden Gems"
North Central,Anuradhapura,Hot,Cultural,VEGA HOLIDAY REST,"21/14/P3, ISURUPURA, ANURADHAPURA",29300,"Tuk Tuk Tours,Mountain Bike Tours,Visit Ancient Ruins,Archaeology Tours,Visit Sacred & Religious Sites,Explore Hidden Gems"
North Central,Anuradhapura,Hot,Cultural,DIYAWARA HOME STAY,"NO-77/03,JAFFNA JUCTION,JAFFNA ROAD,ANURADHAPURA.",34100,"Tuk Tuk Tours,Mountain Bike Tours,Visit Ancient Ruins,Archaeology Tours,Visit Sacred & Religious Sites,Explore Hidden Gems"
North Central,Anuradhapura,Hot,Cultural,HEAVEN UPON RICE FIELDS,"3/3 A NUWARAVEWA WATHTHA, MIHINTHALA ROAD, JAFFNA JUNCTION, ANURADAPURA.",11100,"Tuk Tuk Tours,Mountain Bike Tours,Visit Ancient Ruins,Archaeology Tours,Visit Sacred & Religious Sites,Explore Hidden Gems"
North Central,Anuradhapura,Hot,Cultural,RANDIYA HOTEL,"394/19A,MUDITHA MAWATHA,ANURADHAPURA",18500,"Tuk Tuk Tours,Mountain Bike Tours,Visit Ancient Ruins,Archaeology Tours,Visit Sacred & Religious Sites,Explore Hidden Gems"
